13,1A,0.9730013686670889,76.37808369774,235.32540278368
11,1A,2.950325218877939,75.06870486632,231.46330758892
9,1A,0.21392748016135865,76.4229917814,235.40641344440002
3,1A,-2.4800353323583115,76.03907169364,234.2132673001
4,1A,-1.8386007332714764,76.17027374198,234.62184280634
18,1A,2.5142215344242667,75.27651482208,232.08761800686
14,1A,0.6042879820175888,76.38072534972,235.31923892906
23,1A,0.05975489318068572,76.4229917814,235.40641344440002
8,1A,-0.9325548683053091,76.34022001936,235.16073981026003
15,1A,-2.1713877369253964,76.13857391822,234.52234058176
19,1A,-2.1218235391207965,76.13857391822,234.52234058176
10,1A,-2.598648525631826,75.99592471129999,234.07678194780001
17,1A,0.7418835995839874,76.38072534972,235.31923892906
22,1A,2.449351565392906,75.7053429935,233.37410252112002
2,1A,1.069650369070966,76.35606993124,235.28225580133997
1,1A,2.138930053179557,75.93340561444,234.05829038394
5,1A,1.3522510208717708,76.35166717794,235.27961414936001
6,1A,1.5789073419104653,76.3569504819,235.3139556251
20,1A,-1.469549173629613,76.26273156128,234.91066342282
7,1A,0.4891191389191851,76.41506682546,235.39496628582
12,1A,1.8621808347108777,76.3657559885,235.34653599951997
24,1A,-0.7743566593617386,76.34022001936,235.16073981026003
21,1A,-1.8095253011787809,76.17027374198,234.62184280634
16,1A,-0.5352187207096883,76.3745614951,235.2787335987
